workload,n,noise,seed,mode,cycles_to_thresh,final_fidelity
W6_6q,6,Z_kick_mid,4446882987050417723,PAIR_BLOCK,14,0.8998047300832176
W6_6q,6,Z_kick_mid,13890237585912388858,OFF,7,0.8913426662381957
W6_6q,6,Z_kick_mid,13890237585912388858,SINGLE_BLOCK,9,0.8559088044558191
W6_6q,6,Z_kick_mid,13890237585912388858,PAIR_BLOCK,14,0.7799209485264097
W6_6q,6,Z_kick_mid,2043399979457829384,OFF,7,0.8514629602251729
W6_6q,6,Z_kick_mid,2043399979457829384,SINGLE_BLOCK,7,0.883996395646099
W6_6q,6,Z_kick_mid,2043399979457829384,PAIR_BLOCK,14,0.6634980789713686
W6_6q,6,Z_kick_mid,5765979403546835529,OFF,6,0.7677655986616257
W6_6q,6,Z_kick_mid,5765979403546835529,SINGLE_BLOCK,6,0.8483763427247126
W6_6q,6,Z_kick_mid,5765979403546835529,PAIR_BLOCK,13,0.8863844052068097
W6_6q,6,Z_kick_mid,9583050703538469780,OFF,7,0.8973877451588973
W6_6q,6,Z_kick_mid,9583050703538469780,SINGLE_BLOCK,14,0.8994846367915882
W6_6q,6,Z_kick_mid,9583050703538469780,PAIR_BLOCK,15,0.8881146937312215
W6_6q,6,Z_kick_mid,8608544825731277020,OFF,10,0.8975009949535551
W6_6q,6,Z_kick_mid,8608544825731277020,SINGLE_BLOCK,14,0.8353562612980602
W6_6q,6,Z_kick_mid,8608544825731277020,PAIR_BLOCK,14,0.8233393198383787
W6_6q,6,Z_kick_mid,9968642731773816155,OFF,7,0.8528835108002139
W6_6q,6,Z_kick_mid,9968642731773816155,SINGLE_BLOCK,12,0.8919737615322564
W6_6q,6,Z_kick_mid,9968642731773816155,PAIR_BLOCK,12,0.8841369834597927
W6_6q,6,Z_kick_mid,18376011625883284327,OFF,4,0.8925606325760007
W6_6q,6,Z_kick_mid,18376011625883284327,SINGLE_BLOCK,15,0.8498013302435353
W6_6q,6,Z_kick_mid,18376011625883284327,PAIR_BLOCK,14,0.8522811382462504
W6_6q,6,Z_kick_mid,9877395034972046107,OFF,6,0.898938561724648
W6_6q,6,Z_kick_mid,9877395034972046107,SINGLE_BLOCK,9,0.898990460767341
W6_6q,6,Z_kick_mid,9877395034972046107,PAIR_BLOCK,14,0.8627089864995445
W6_6q,6,Z_kick_mid,16366762136133361768,OFF,3,0.8902058698438617
W6_6q,6,Z_kick_mid,16366762136133361768,SINGLE_BLOCK,14,0.7550690969070857
W6_6q,6,Z_kick_mid,16366762136133361768,PAIR_BLOCK,13,0.8224942483351967
W6_6q,6,Z_kick_mid,17794951919631458343,OFF,5,0.8506890245991816
W6_6q,6,Z_kick_mid,17794951919631458343,SINGLE_BLOCK,8,0.8771072565678025
W6_6q,6,Z_kick_mid,17794951919631458343,PAIR_BLOCK,14,0.8799067749583437
W6_6q,6,Z_kick_mid,11105684563243120956,OFF,6,0.8763707907383711
W6_6q,6,Z_kick_mid,11105684563243120956,SINGLE_BLOCK,9,0.8530713367050009
W6_6q,6,Z_kick_mid,11105684563243120956,PAIR_BLOCK,14,0.8852669713996378
W6_6q,6,Z_kick_mid,7626200846307249200,OFF,2,0.8293380075183198
W6_6q,6,Z_kick_mid,7626200846307249200,SINGLE_BLOCK,2,0.8825376123238594
W6_6q,6,Z_kick_mid,7626200846307249200,PAIR_BLOCK,13,0.8995188327584874
W6_6q,6,Z_kick_mid,12545823730255562406,OFF,5,0.8757998705558697
W6_6q,6,Z_kick_mid,12545823730255562406,SINGLE_BLOCK,7,0.847685487030797
